Short Name,Dataset,Root request,Root request status,Root request priority,Root request done events,Root request total events,Root request output,MiniAOD status,MiniAOD priority,MiniAOD done events,MiniAOD total events,MiniAOD output,NanoAOD status,NanoAOD priority,NanoAOD done events,NanoAOD total events,NanoAOD output,Chained request,Interested PWGs,Tags
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-0J-M-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,HIG-RunIII2024Summer24wmLHEGS-00967,new,20000,0,110400000,,,0,0,0,,,0,0,0,,,HIG,
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-0J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00053,done,100003,0,500000000,,done,100003,493079617,500000000,/DYto2Tau-2Jets_Bin-0J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v4/MINIAODSIM,done,100003,493132017,500000000,/DYto2Tau-2Jets_Bin-0J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v4/NANOAODSIM,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00053,GEN,Tau_BugFix
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-1J-M-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,HIG-RunIII2024Summer24wmLHEGS-00968,new,20000,0,156800000,,,0,0,0,,,0,0,0,,,HIG,
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-1J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00337,done,250000,-1,400000000,,done,110000,428447616,400000000,/DYto2Tau-2Jets_Bin-1J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,done,110000,428387857,400000000,/DYto2Tau-2Jets_Bin-1J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00362,GEN,Tau_BugFix
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-2J-M-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,HIG-RunIII2024Summer24wmLHEGS-00969,new,20000,0,369600000,,,0,0,0,,,0,0,0,,,HIG,
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-2J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00512,done,250000,-1,300000000,,done,110000,233046429,300000000,/DYto2Tau-2Jets_Bin-2J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,done,110000,232971613,300000000,/DYto2Tau-2Jets_Bin-2J-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00363,GEN,Tau_BugFix
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00612,done,110000,-1,150000000,,done,110000,133319951,150000000,/DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,done,110000,133351364,150000000,/DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00434,"BTV, GEN",
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00612,done,110000,-1,150000000,,done,110000,133319951,150000000,/DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,done,120000,133319951,133319951,/DYto2Tau-2Jets_Bin-MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/RunIII2024Summer24NanoAODv15-BTVNanoV15_150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAODv6_flowRunIIISummer24BTVNanoAODv15-00019,"BTV, GEN",
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-Run3Summer23wmLHEGS-00892,new,20000,-1,1,,,0,0,0,,,0,0,0,,,GEN,
DYto2Tau-2Jets NLO MG+P8,DYto2Tau-2Jets_Bin-MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,GEN-RunIII2024Summer24wmLHEGS-00056,done,250001,0,500000000,,new,110000,0,500000000,,new,110000,0,500000000,,GEN-chain_RunIII2024Summer24wmLHEGS_flowRunIII2024Summer24DRPremix_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00064,"BTV, GEN","BTV_SF, Run3_BTVCommFW_2Dcalibration, Tau_BugFix"
